2047105TYPEWRITER   080000B
1742010HANDLE       001000A
2149150USB DRIVE    120000C
3761005TAPE         500000D
2791010BOLTS        000075A
3000100STAPLER      000200F
3001101OVERHEAD PROJ009999F
3002099PENCILS      000009F
4001184CANADIAN RUGS015029D
4003050CARPET       004000Z
4005001WASTE BASKETS000379C
5001010HINGES       001000A
5003010PENS (GOLD)  004999B
5004400PENS (BLACK) 000200D
8888999HIGH CHAIR   999999A
8889412PLAY PEN     007499B
0001001LOW TEST     000001G
9999999LAST RECORD  000001A
